regency,province,7d,72h,24h
Berau,East Kalimantan,927,704,1228
Malinau,North Kalimantan,560,36,20
Kotawaringin Timur,Central Kalimantan,385,21,0
Kutai Timur,East Kalimantan,294,127,753
Ketapang,West Kalimantan,282,1241,268
Kapuas,Central Kalimantan,252,461,0
Bulungan,North Kalimantan,191,164,253
Kota Palangka Raya,Central Kalimantan,174,0,0
Tapin,South Kalimantan,161,0,0
Melawi,West Kalimantan,145,215,152
Kutai Kartanegara,East Kalimantan,141,213,21
Kayong Utara,West Kalimantan,135,162,0
Kapuas Hulu,West Kalimantan,123,167,217
Paser,East Kalimantan,94,0,0
Seruyan,Central Kalimantan,92,11,0
Gunung Mas,Central Kalimantan,92,161,0
Sintang,West Kalimantan,76,250,141
Kutai Barat,East Kalimantan,68,75,0
Pulang Pisau,Central Kalimantan,67,0,0
Tanah Laut,South Kalimantan,64,0,0
Nunukan,North Kalimantan,63,42,0
Kotawaringin Barat,Central Kalimantan,51,0,0
Kubu Raya,West Kalimantan,49,102,69
Barito Selatan,Central Kalimantan,46,48,0
Mahakam Hulu,East Kalimantan,42,6,0
Kota Baru,South Kalimantan,42,0,0
Hulu Sungai Selatan,South Kalimantan,36,0,0
Lamandau,Central Kalimantan,36,0,0
Tabalong,South Kalimantan,33,6,0
Sekadau,West Kalimantan,33,117,458
Mempawah,West Kalimantan,27,45,50
Sukamara,Central Kalimantan,23,0,0
Tana Tidung,North Kalimantan,22,6,0
Murung Raya,Central Kalimantan,22,56,38
Banjar,South Kalimantan,22,0,0
Barito Kuala,South Kalimantan,21,0,0
Katingan,Central Kalimantan,17,86,0
Tanah Bumbu,South Kalimantan,12,0,0
Kota Tarakan,North Kalimantan,11,0,0
Bulungan,East Kalimantan,8,2,7
Sanggau,West Kalimantan,6,306,701
Hulu Sungai Utara,South Kalimantan,6,0,0
Barito Utara,Central Kalimantan,4,33,0
Kota Balikpapan,East Kalimantan,3,0,0
Berau,North Kalimantan,1,0,15
Bengkayang,West Kalimantan,0,31,103
Landak,West Kalimantan,0,0,394
Sambas,West Kalimantan,0,61,0
