cluster_id,dominant_landcover,tree_cover_pct,shrubland_pct,cropland_pct
327,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
318,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
299,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
256,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
243,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
298,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
317,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
58,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
314,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
16,Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5
