cluster_id,priority_rank,province,regency,total_burned_ha,precip_30d_mm,precip_90d_mm,precip_anomaly_30d_pct,precip_anomaly_90d_pct,dry_days_30d,max_air_temp_c,mean_lst_day_c,max_wind_speed_kmh,prevailing_wind_dir,kbdi_score,kbdi_class,dominant_landcover,tree_cover_pct,shrubland_pct,cropland_pct,is_peatland,peatland_pct,burned_on_peat_ha
327,1,East Kalimantan,Berau,1727.77,38.5,319.6,-74.3,-29.0,26,35.0,29.8,6.9,BL (Barat Laut),521.4,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,34.0,587.44
318,2,West Kalimantan,Landak,0.0,27.0,330.5,-82.0,-26.6,27,35.0,39.0,6.9,BL (Barat Laut),512.9,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,34.0,0.0
299,3,West Kalimantan,Sekadau,0.0,40.9,374.6,-72.7,-16.8,25,35.0,39.0,6.9,BL (Barat Laut),478.6,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0
256,4,North Kalimantan,Bulungan,0.0,118.7,703.2,-20.9,56.3,18,35.0,25.8,6.9,BL (Barat Laut),420.0,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0
243,5,West Kalimantan,Sanggau,0.0,47.0,386.6,-68.7,-14.1,25,35.0,39.0,6.9,BL (Barat Laut),469.3,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0
298,6,West Kalimantan,Kapuas Hulu,111.86,64.6,435.8,-56.9,-3.2,23,35.0,26.3,6.9,BL (Barat Laut),431.0,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,9.51
317,7,North Kalimantan,Malinau,90.07,158.9,920.9,5.9,104.6,14,24.8,21.7,1.0,BL (Barat Laut),199.7,Basah (Wet),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,7.66
58,8,West Kalimantan,Ketapang,312.97,0.1,269.7,-99.9,-40.1,29,28.5,27.6,7.0,TG (Tenggara),419.8,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,72.5,226.9
314,9,East Kalimantan,Kutai Timur,147.55,44.8,382.0,-70.1,-15.1,25,35.0,24.0,6.9,BL (Barat Laut),472.9,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,12.54
16,10,Central Kalimantan,Kotawaringin Timur,294.05,14.7,272.4,-90.2,-39.5,28,28.4,26.9,6.1,TG (Tenggara),415.6,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,72.5,213.19
