cluster_id,province,regency,detection_span_days,frp_start,frp_latest,frp_trend_slope,displacement_km,propagation_speed_kmd,heading_deg,persistence_prob_24h,persistence_prob_48h,persistence_risk
327,East Kalimantan,Berau,4.0,42.5,55.0,3.12,2.96,0.74,330.0,0.935,0.883,Extreme
318,West Kalimantan,Landak,4.0,42.5,55.0,3.12,0.8,0.2,330.0,0.933,0.878,Extreme
299,West Kalimantan,Sekadau,4.0,42.5,55.0,3.12,0.3,0.07,330.0,0.778,0.647,High
256,North Kalimantan,Bulungan,4.0,42.5,37.5,-1.25,0.3,0.07,330.0,0.628,0.469,Moderate
243,West Kalimantan,Sanggau,4.0,42.5,55.0,3.12,0.3,0.07,330.0,0.77,0.636,High
298,West Kalimantan,Kapuas Hulu,4.0,42.5,37.5,-1.25,0.44,0.11,330.0,0.641,0.483,Moderate
317,North Kalimantan,Malinau,4.0,42.5,37.5,-1.25,0.41,0.1,330.0,0.36,0.227,Low
58,West Kalimantan,Ketapang,4.0,42.5,37.5,-1.25,0.69,0.17,330.0,0.849,0.745,High
314,East Kalimantan,Kutai Timur,4.0,42.5,55.0,3.12,0.48,0.12,330.0,0.773,0.64,High
16,Central Kalimantan,Kotawaringin Timur,4.0,42.5,37.5,-1.25,0.67,0.17,330.0,0.846,0.741,High
