cluster_id,priority_rank,province,regency,total_burned_ha,precip_30d_mm,precip_90d_mm,precip_anomaly_30d_pct,precip_anomaly_90d_pct,dry_days_30d,max_air_temp_c,mean_lst_day_c,max_wind_speed_kmh,prevailing_wind_dir,kbdi_score,kbdi_class,dominant_landcover,tree_cover_pct,shrubland_pct,cropland_pct,is_peatland,peatland_pct,burned_on_peat_ha,latitude,longitude,mean_aai,max_aai,smoke_severity,frp_trend_slope,displacement_km,persistence_prob_24h,persistence_prob_48h,persistence_risk,mean_kfsi,max_kfsi,kfsi_hazard_class,composite_risk_score,early_warning_level,primary_threat
327,1,East Kalimantan,Berau,1727.77,38.5,319.6,-74.3,-29.0,26,35.0,29.8,6.9,BL (Barat Laut),521.4,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,34.0,587.44,2.274,117.902,1.2939946263387967,2.550507307056744,Dense,3.12,2.96,0.935,0.883,Extreme,0.964,1.0,Very High,83.0,Level 4: Critical Emergency,Kebakaran Gambut Bawah Permukaan + Defisit Ekstrem
318,2,West Kalimantan,Landak,0.0,27.0,330.5,-82.0,-26.6,27,35.0,39.0,6.9,BL (Barat Laut),512.9,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,34.0,0.0,0.211,109.794,1.019019727433464,1.138124108316358,Moderate,3.12,0.8,0.933,0.878,Extreme,0.957,1.0,Very High,52.2,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
299,3,West Kalimantan,Sekadau,0.0,40.9,374.6,-72.7,-16.8,25,35.0,39.0,6.9,BL (Barat Laut),478.6,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0,0.086,110.951,0.8576885525233373,1.0910505439002374,Moderate,3.12,0.3,0.778,0.647,High,0.749,0.914,High,43.2,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
256,4,North Kalimantan,Bulungan,0.0,118.7,703.2,-20.9,56.3,18,35.0,25.8,6.9,BL (Barat Laut),420.0,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0,2.89,116.89,0.23129698233942733,0.4231716692454518,Low,-1.25,0.3,0.628,0.469,Moderate,0.7,0.854,High,34.6,Level 1: Monitor,Aktivitas Termal Terisolir / Basah
243,5,West Kalimantan,Sanggau,0.0,47.0,386.6,-68.7,-14.1,25,35.0,39.0,6.9,BL (Barat Laut),469.3,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,0.0,0.157,110.486,1.3460678766463525,1.381285429001988,Moderate,3.12,0.3,0.77,0.636,High,0.741,0.904,High,43.7,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
298,6,West Kalimantan,Kapuas Hulu,111.86,64.6,435.8,-56.9,-3.2,23,35.0,26.3,6.9,BL (Barat Laut),431.0,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,9.51,0.45,112.85,-0.10223075414675879,0.2882529497151276,Low,-1.25,0.44,0.641,0.483,Moderate,0.709,0.865,High,36.5,Level 1: Monitor,Aktivitas Termal Terisolir / Basah
317,7,North Kalimantan,Malinau,90.07,158.9,920.9,5.9,104.6,14,24.8,21.7,1.0,BL (Barat Laut),199.7,Basah (Wet),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,7.66,3.12,116.12,-0.10655112396251294,0.45417681336476473,Low,-1.25,0.41,0.36,0.227,Low,0.516,0.63,Moderate,21.5,Level 1: Monitor,Aktivitas Termal Terisolir / Basah
58,8,West Kalimantan,Ketapang,312.97,0.1,269.7,-99.9,-40.1,29,28.5,27.6,7.0,TG (Tenggara),419.8,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,72.5,226.9,-1.938,110.248,1.0043607679134043,1.0958774089830987,Moderate,-1.25,0.69,0.849,0.745,High,0.88,1.0,Very High,49.9,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
314,9,East Kalimantan,Kutai Timur,147.55,44.8,382.0,-70.1,-15.1,25,35.0,24.0,6.9,BL (Barat Laut),472.9,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,False,8.5,12.54,1.845,117.421,-0.13095551613575848,0.19997802376775975,Low,3.12,0.48,0.773,0.64,High,0.744,0.908,High,41.6,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
16,10,Central Kalimantan,Kotawaringin Timur,294.05,14.7,272.4,-90.2,-39.5,28,28.4,26.9,6.1,TG (Tenggara),415.6,Kering (Dry),Tutupan Pohon / Hutan (Tree Cover),68.4,18.2,10.5,True,72.5,213.19,-2.15,112.98,0.20850552677072168,0.9612932205208085,Low,-1.25,0.67,0.846,0.741,High,0.876,1.0,Very High,48.8,Level 2: Alert,Potensi Perluasan Titik Panas Moderat
