cluster_id,forecast_day,forecast_date,forecast_wtd_cm,forecast_temp_c,forecast_pfvi
327,1,2026-08-21,-52.2,32.9,57.5
327,2,2026-08-22,-52.4,32.8,57.6
327,3,2026-08-23,-52.5,32.8,57.7
327,4,2026-08-24,-52.6,32.8,57.8
327,5,2026-08-25,-52.7,32.8,57.9
327,6,2026-08-26,-52.9,32.8,58.0
327,7,2026-08-27,-53.0,32.8,58.1
318,1,2026-08-21,-43.1,32.6,0.0
318,2,2026-08-22,-43.1,33.2,0.0
318,3,2026-08-23,-43.1,33.0,0.0
318,4,2026-08-24,-43.1,33.1,0.0
318,5,2026-08-25,-43.1,33.1,0.0
318,6,2026-08-26,-43.1,33.1,0.0
318,7,2026-08-27,-43.1,33.1,0.0
299,1,2026-08-21,-70.5,33.4,3.9
299,2,2026-08-22,-70.6,33.3,3.9
299,3,2026-08-23,-70.7,33.3,3.9
299,4,2026-08-24,-70.8,33.3,3.8
299,5,2026-08-25,-70.9,33.3,3.8
299,6,2026-08-26,-71.0,33.3,3.8
299,7,2026-08-27,-71.1,33.3,3.7
256,1,2026-08-21,3.1,33.6,0.0
256,2,2026-08-22,4.2,33.3,0.0
256,3,2026-08-23,5.3,33.2,0.0
256,4,2026-08-24,6.4,33.2,0.0
256,5,2026-08-25,7.5,33.1,0.0
256,6,2026-08-26,8.6,33.1,0.0
256,7,2026-08-27,9.7,33.1,0.0
243,1,2026-08-21,-80.1,32.8,83.6
243,2,2026-08-22,-80.3,32.8,83.7
243,3,2026-08-23,-80.5,32.8,83.8
243,4,2026-08-24,-80.7,32.8,83.9
243,5,2026-08-25,-80.9,32.8,84.0
243,6,2026-08-26,-81.2,32.8,84.1
243,7,2026-08-27,-81.4,32.8,84.2
298,1,2026-08-21,-53.5,33.2,0.0
298,2,2026-08-22,-53.4,33.2,0.0
298,3,2026-08-23,-53.2,33.1,0.0
298,4,2026-08-24,-53.0,33.1,0.0
298,5,2026-08-25,-52.9,33.1,0.0
298,6,2026-08-26,-52.7,33.1,0.0
298,7,2026-08-27,-52.6,33.1,0.0
317,1,2026-08-21,0.8,23.0,0.0
317,2,2026-08-22,1.3,23.0,0.0
317,3,2026-08-23,1.9,23.0,0.0
317,4,2026-08-24,2.4,23.0,0.0
317,5,2026-08-25,3.0,23.0,0.0
317,6,2026-08-26,3.5,23.0,0.0
317,7,2026-08-27,4.0,23.0,0.0
58,1,2026-08-21,-66.9,27.0,295.2
58,2,2026-08-22,-67.4,27.0,298.6
58,3,2026-08-23,-67.9,27.0,300.0
58,4,2026-08-24,-68.4,27.0,300.0
58,5,2026-08-25,-68.9,27.0,300.0
58,6,2026-08-26,-69.4,27.0,300.0
58,7,2026-08-27,-69.9,27.0,300.0
314,1,2026-08-21,-64.6,33.5,0.0
314,2,2026-08-22,-64.6,33.2,0.0
314,3,2026-08-23,-64.5,33.2,0.0
314,4,2026-08-24,-64.5,33.1,0.0
314,5,2026-08-25,-64.4,33.1,0.0
314,6,2026-08-26,-64.4,33.1,0.0
314,7,2026-08-27,-64.4,33.1,0.0
16,1,2026-08-21,-59.8,26.2,200.8
16,2,2026-08-22,-60.2,27.0,201.8
16,3,2026-08-23,-60.6,26.7,202.6
16,4,2026-08-24,-61.0,26.8,203.5
16,5,2026-08-25,-61.3,26.8,204.3
16,6,2026-08-26,-61.7,26.8,205.1
16,7,2026-08-27,-62.1,26.8,206.0
